Program,Year,Geo Level,State,Ag District,Ag District Code,County,County ANSI,Commodity,Avrage corn,Avrage soybeen ,CV (%)
SURVEY,2024,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,211.2,60.2,0.5
SURVEY,2022,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,164.2,47.5,2.3
SURVEY,2020,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,168.7,48.1,1.6
SURVEY,2019,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,176.5,53.3,2.6
SURVEY,2020,COUNTY,IOWA,SOUTHWEST,70,ADAMS,003,CORN,173.3,57.1,3.4
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,216.3,52.2,2.8
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,183.9,61.2,2.6
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,215.9,61.9,1.7
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,198.5,58.8,1.6
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,196.3,50.7,1.4
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,187.2,40.4,1.6
SURVEY,2023,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,172.8,57.5,3.3
SURVEY,2022,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,146.1,39.1,3.1
SURVEY,2021,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,171.6,64.6,3.1
SURVEY,2020,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,143.6,53.6,2.1
SURVEY,2019,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,166.8,57.9,2.5
SURVEY,2024,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,224.2,67.3,2.2
SURVEY,2023,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,197.6,48.3,3
SURVEY,2022,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,197.9,58.9,2.8
SURVEY,2021,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,216,54,3.6
SURVEY,2020,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,170.8,66.1,2.4
SURVEY,2019,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,216,67.1,1.7
SURVEY,2024,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,238.6,56.7,1.4
SURVEY,2023,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,199.7,57.9,2.9
SURVEY,2022,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,221.7,57.2,2.7
SURVEY,2021,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,211.7,51.1,2.4
SURVEY,2020,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,144.8,64.5,1.6
SURVEY,2019,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,197.6,60.1,3.9
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,205.9,54.2,2.9
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,202.4,51.9,2.9
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,193.6,66.3,1.9
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,169.8,69.1,3.3
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,205.1,60.4,2.6
SURVEY,2024,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,217.6,64.4,2.5
SURVEY,2023,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,226.5,50.9,2.1
SURVEY,2022,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,202.4,53.2,3.1
SURVEY,2021,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,208.4,56.9,2.8
SURVEY,2020,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,160.7,54.5,2.8
SURVEY,2019,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,194.8,66.7,2.9
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,205.9,62,2.7
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,199.9,52.5,4
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,210.8,59.9,3.1
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,200.1,51.8,1.8
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,187.6,65,2
